# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.024883  +0.1326
0.1053  -2397.778183  +0.3793
0.1579  -2397.829000  +0.3285
0.2105  -2397.826277  +0.3312
0.2632  -2397.805411  +0.3521
0.3158  -2397.764522  +0.3929
0.3684  -2397.725919  +0.4315
0.4211  -2397.714213  +0.4433
0.4737  -2397.738063  +0.4194
0.5263  -2397.861148  +0.2963
0.5789  -2398.048940  +0.1085
0.6316  -2398.237398  -0.0799
0.6842  -2398.413094  -0.2556
0.7368  -2398.556347  -0.3989
0.7895  -2398.671650  -0.5142
0.8421  -2398.894549  -0.7371
0.8947  -2398.855753  -0.6983
0.9474  -2399.261780  -1.1043
1.0000  -2399.269654  -1.1122
