Job: 7857722  |  Node: d1029  |  Thu Jun 25 05:59:42 AM EDT 2026
No restart file found -- starting fresh.
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0625 06:00:07.414000 1522851 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823086 -0.0045823086 -0.0045823086) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.025 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
         0   0              10            -3250.6152      0.64500812     120.84708      5700.9619      17.864165      17.864165      17.864165    
      1000   0.5            11.441302     -3249.8546      0.73797325     78.73756       5703.0546      17.86635       17.86635       17.86635     
      2000   1              25.652882     -3248.9851      1.6546317     -8.3889157      5705.7161      17.869129      17.869129      17.869129    
      3000   1.5            34.61233      -3248.551       2.2325234     -592.30272      5709.4027      17.872977      17.872977      17.872977    
      4000   2              42.878649     -3248.0226      2.7657077     -576.36575      5712.2249      17.875921      17.875921      17.875921    
      5000   2.5            51.146477     -3247.4633      3.2989893      210.63277      5710.9271      17.874567      17.874567      17.874567    
      6000   3              58.346233     -3246.951       3.7633794      1993.7912      5707.8239      17.871329      17.871329      17.871329    
      7000   3.5            63.686877     -3246.2853      4.1078553      3174.8557      5704.2539      17.867602      17.867602      17.867602    
      8000   4              71.8662       -3245.7867      4.6354283      1025.67        5712.1799      17.875874      17.875874      17.875874    
      9000   4.5            85.0765       -3245.5215      5.4875033     -946.55281      5719.2713      17.883269      17.883269      17.883269    
     10000   5              86.565573     -3244.9796      5.5835498     -2473.8807      5725.1072      17.889349      17.889349      17.889349    
     11000   5.5            95.413345     -3244.1689      6.1542383     -4420.8021      5734.8366      17.899477      17.899477      17.899477    
     12000   6              109.11721     -3244.0979      7.0381484     -761.28413      5722.0259      17.886139      17.886139      17.886139    
     13000   6.5            108.43941     -3243.356       6.9944299      1181.6402      5721.414       17.885502      17.885502      17.885502    
     14000   7              119.35215     -3242.4107      7.6983104      4326.2359      5715.177       17.879         17.879         17.879       
     15000   7.5            120.31345     -3242.3781      7.7603156      3110.8438      5716.2369      17.880105      17.880105      17.880105    
     16000   8              146.44846     -3242.164       9.4460444      889.06493      5721.4914      17.885582      17.885582      17.885582    
     17000   8.5            150.39103     -3242.7834      9.7003435     -533.93895      5726.8599      17.891175      17.891175      17.891175    
     18000   9              159.47969     -3241.9761      10.28657      -2413.8444      5731.1613      17.895653      17.895653      17.895653    
     19000   9.5            159.16249     -3241.1771      10.26611      -2879.421       5739.5633      17.904394      17.904394      17.904394    
     20000   10             166.8338      -3241.5807      10.760916     -7149.2887      5751.4074      17.916701      17.916701      17.916701    
     21000   10.5           178.93953     -3239.6185      11.541745     -530.56756      5739.0219      17.903831      17.903831      17.903831    
     22000   11             179.14448     -3239.7176      11.554965     -475.33262      5737.5096      17.902258      17.902258      17.902258    
     23000   11.5           199.49163     -3239.2562      12.867372      1710.8399      5732.1619      17.896694      17.896694      17.896694    
