# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.149516  +0.0459
0.1053  -2398.042503  +0.1529
0.1579  -2397.909501  +0.2859
0.2105  -2397.866364  +0.3290
0.2632  -2397.845014  +0.3504
0.3158  -2397.834803  +0.3606
0.3684  -2397.830338  +0.3650
0.4211  -2397.823945  +0.3714
0.4737  -2397.820204  +0.3752
0.5263  -2397.820645  +0.3747
0.5789  -2397.819684  +0.3757
0.6316  -2397.824192  +0.3712
0.6842  -2397.842741  +0.3526
0.7368  -2397.870414  +0.3250
0.7895  -2397.942588  +0.2528
0.8421  -2398.178703  +0.0167
0.8947  -2398.623044  -0.4277
0.9474  -2399.028727  -0.8334
1.0000  -2399.269654  -1.0743
