Node: d1029  Start: Wed Jun 24 18:00:24 EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (17.855 17.855 17.855)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  read_data CPU = 0.055 seconds
### Minimization ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 1 extra global DOFs will be included in minimizer energies
 (src/KOKKOS/min_kokkos.cpp:94)
WARNING: Fix MINIMIZE/kk not compatible with sending data in Kokkos communication (src/KOKKOS/comm_kokkos.cpp:842)
WARNING: Fix with atom-based arrays not compatible with sending data in Kokkos communication, switching to legacy exchange/border communication (src/KOKKOS/comm_kokkos.cpp:849)
WARNING: Fix MINIMIZE/kk not (yet) compatible with Kokkos sorting on device (src/KOKKOS/atom_kokkos.cpp:219)
WARNING: Fix with atom-based arrays not (yet) compatible with Kokkos sorting on device, switching to legacy host sorting (src/KOKKOS/atom_kokkos.cpp:225)
W0624 18:01:32.065000 1110817 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
Per MPI rank memory allocation (min/avg/max) = 113.9 | 113.9 | 113.9 Mbytes
   Step         PotEng          Fmax          Fnorm          Press          Volume           Lx             Ly             Lz      
         0  -3214.3621      2.196287       17.056887     -5446.7057      5692.1923      17.855         17.855         17.855       
        10  -3227.4012      1.5667117      8.0257519      1529.2447      5636.9231      17.797023      17.797023      17.797023    
        20  -3232.0815      1.250686       6.1653524      4687.6334      5630.2395      17.789987      17.789987      17.789987    
        30  -3235.6621      1.2706308      5.0870862     -16350.453      5696.5936      17.859601      17.859601      17.859601    
        40  -3239.429       0.82393448     3.474078      -408.81641      5663.246       17.824683      17.824683      17.824683    
        50  -3240.5944      1.3339813      5.4878048     -262.68445      5666.1182      17.827696      17.827696      17.827696    
        60  -3242.5871      0.95471917     3.1804102     -569.25223      5673.7115      17.835656      17.835656      17.835656    
        70  -3243.8332      1.048019       2.8461819     -139.97159      5677.2701      17.839384      17.839384      17.839384    
        80  -3244.8464      0.60704639     2.2727899      21.332649      5681.3642      17.843671      17.843671      17.843671    
        90  -3245.7227      0.74646314     2.1107011      269.89907      5685.6676      17.848175      17.848175      17.848175    
       100  -3245.7377      1.3469147      3.7193362     -744.3667       5690.0736      17.852784      17.852784      17.852784    
       110  -3246.5608      1.1607641      2.6641699      8068.3511      5670.1537      17.831927      17.831927      17.831927    
       120  -3247.155       0.77885153     1.9265694      49.190668      5694.1804      17.857078      17.857078      17.857078    
       130  -3247.3396      0.63041077     1.2132887      2405.0056      5687.8879      17.850498      17.850498      17.850498    
       140  -3247.764       0.34843314     0.92489792     516.98049      5694.2373      17.857138      17.857138      17.857138    
       150  -3247.828       0.27067494     0.68265925     91.828432      5695.6664      17.858632      17.858632      17.858632    
       160  -3247.8315      0.8971835      1.535719      -102.27378      5696.4993      17.859502      17.859502      17.859502    
       170  -3247.9062      0.32196769     0.66065525    -611.43558      5697.8724      17.860937      17.860937      17.860937    
       180  -3247.909       0.871924       1.3604857      74.546988      5696.3201      17.859315      17.859315      17.859315    
       190  -3247.955       0.4307015      0.78507539    -27.03779       5696.6089      17.859617      17.859617      17.859617    
       200  -3247.9768      0.14084904     0.44703853    -35.625239      5696.6109      17.859619      17.859619      17.859619    
       210  -3248.0163      1.3387344      2.0275108     -1648.8646      5702.3159      17.865579      17.865579      17.865579    
       220  -3248.192       1.4537824      2.1332524     -2529.2082      5706.3569      17.869798      17.869798      17.869798    
       230  -3248.3376      0.52098725     0.93168977     5.2937571      5700.5472      17.863731      17.863731      17.863731    
